phi Ben28 Ben10
-3.141592653589793 0.14778089887640444 0.14970074812967563
-3.1290010998679905 0.1488587390263358 0.14955631399317318
-3.1164095461461874 0.14941836734693692 0.15024769305487914
-3.1038179924243847 0.1490806223479463 0.15025649794801468
-3.091226438702582 0.14921987784563798 0.14990659340659018
-3.0786348849807794 0.14924806905951238 0.1500486402829914
-3.0660433312589763 0.14917241379309515 0.15019840534024742
-3.0534517775371737 0.14933742942543068 0.15086329770002238
-3.040860223815371 0.14949701122611575 0.15002021368754484
-3.028268670093568 0.14934406438631453 0.15085922757579834
-3.0156771163717653 0.1493432835820952 0.1504754672897279
-3.0030855626499626 0.14968801313630115 0.15047163798599272
-2.99049400892816 0.14951779448623315 0.15078757084231023
-2.977902455206357 0.14932032365542305 0.15091516663698826
-2.9653109014845542 0.14930478456254126 0.15054831612796804
-2.9527193477627516 0.14956397228639698 0.15081460184703727
-2.9401277940409485 0.14920649509805586 0.1507729144718143
-2.927536240319146 0.1492252099054239 0.15051315789475428
-2.914944686597343 0.14946809687051912 0.15094035014153973
-2.9023531328755405 0.14961702127660442 0.15092710157619488
-2.8897615791537374 0.14934937816675212 0.15100154252976122
-2.877170025431935 0.14926180868740238 0.15110148789696923
-2.864578471710132 0.1495282243868168 0.15100386100387067
-2.851986917988329 0.14931366573205349 0.15094661841213436
-2.8393953642665264 0.14961042123204793 0.15090805123514217
-2.8268038105447237 0.14954896433386858 0.1508814589665735
-2.814212256822921 0.14961457689932398 0.15061229286638408
-2.801620703101118 0.14966929911155372 0.15080092861289307
-2.7890291493793153 0.14936610127522884 0.1511170275707089
-2.7764375956575127 0.15002038476239135 0.15085829767000208
-2.76384604193571 0.14992326732673558 0.1511381633376746
-2.751254488213907 0.14981122702434507 0.1507325918762139
-2.7386629344921043 0.15008202057023762 0.1507071665875721
-2.7260713807703016 0.14988776941716686 0.15033027965285023
-2.7134798270484985 0.14994125734283495 0.1503269887750164
-2.700888273326696 0.15012751849018238 0.15057135998080057
-2.6882967196048932 0.14984627309133167 0.15067727163172404
-2.67570516588309 0.1498688608896889 0.15061790823878082
-2.6631136121612875 0.15013149495723344 0.1504967446346814
-2.650522058439485 0.1500957854406138 0.1505796038151188
-2.6379305047176818 0.14980245944531553 0.15043857493857932
-2.625338950995879 0.14974655860028313 0.15056279693020375
-2.6127473972740765 0.14994805869367556 0.15071804281346052
-2.600155843552274 0.14962108519139092 0.15043026706231832
-2.587564289830471 0.1500534341196396 0.1506936847339667
-2.574972736108668 0.14958279346981057 0.15062912289274843
-2.5623811823868654 0.14990867579908632 0.1501180564185444
-2.5497896286650628 0.1496204685250608 0.1506714089604423
-2.5371980749432597 0.14968347010550898 0.15046324891908958
