ell excessr exc_std
2.3 -6.0662319231432775 2.8427673259867023
2.7 -1.6324597664279281 2.316046462093415
3.1000000000000005 -3.2184519027969145 2.206394916756947
3.5 -2.1273082443422027 2.4443253524958024
3.9000000000000004 -1.5146714666016123 2.365185006398195
4.3 -2.506786366727283 2.142195769501913
4.7 -0.7189568839003186 2.389183443972714
5.1 2.6785447567999654 3.035894287017415
5.5 1.855739703447398 3.847803059990349
5.9 -0.6037424088453918 3.146625671330957
6.3 1.1913471409425256 3.2421687144875477
6.7 nan nan
7.1000000000000005 5.78184584403607 17.28193497151619
