ell excessr exc_std
2.3 -10.209841298398715 2.445156366466972
2.7 0.032534058913370245 1.853177956083055
3.1000000000000005 -1.8710472228485742 2.268101164980506
3.5 -2.3557903347909814 2.497673062247499
3.9000000000000004 -2.5458774066446495 2.392317064790769
4.3 -2.3128236951642975 2.326265116577018
4.7 -1.6910309841859998 2.733739891324091
5.1 0.2349572384991916 3.1910564348645063
5.5 1.185076356649006 3.104842569515384
5.9 1.1390307312885852 2.9427849769156484
6.3 0.5835605534766728 2.607617735516419
6.7 -3.0 3.059552566935718
7.1000000000000005 -1.4097567832031928 4.721420113752624
