ell excess
2.3 -1.943031309
2.5 -1.644538321
2.7 -1.606797993
2.9 -1.644538321
3.1 -1.644538321
3.3 -0.85608096
3.5 -1.180232713
3.7 -1.365824918
3.9 -1.477484236
4.1 -1.737628744
4.3 -1.466857144
4.5 -1.056751656
4.7 -1.161686549
4.9 -0.930771853
5.1 -1.080008518
5.3 -0.669978681
5.5 -0.122111785
5.7 -0.374075775
5.9 -0.611523315
