ell excessr exc_std
1.5 0.10560749619344278 1.864257945668832
1.9 0.041028881591955724 1.8895200272265704
2.3000000000000003 -0.039984153309887915 2.02307228803107
2.7 -1.5955623312484022 2.383739829753228
3.1 -2.299269811556769 2.6226609392282096
3.5 0.6870731209855876 2.5248736004552947
3.9 -2.0178257276957083 2.6411867400382567
4.3 -0.7111858050611772 3.0600064497663078
4.7 -0.7833104118080882 3.2905418192880544
5.1000000000000005 -1.0149056341169853 3.347958590058993
5.5 0.6694801512339836 3.047782708993133
5.9 -1.3498694157869977 4.925487942654965
6.300000000000001 3.3309225926996078 4.773428894219707
