ell excessr exc_std
1.5 -0.2982630737533327 1.234218245148862
1.9 -0.0020697303943961742 1.4137756546435196
2.3000000000000003 0.0835559431279762 1.3394188147484094
2.7 -0.3457650983473286 1.4108063930209702
3.1 -0.6101738545230546 1.6939862160460233
3.5 -2.665816829329742 1.9409104383701543
3.9 -3.134157111375316 1.6980845482861469
4.3 -2.8728748822950365 2.331816005630498
4.7 0.013344233927455207 1.783404689202149
5.1000000000000005 -3.1312382178630287 1.783884270935629
5.5 -0.5823281016091642 2.350905846415301
5.9 2.901382317460957 4.954910678157519
6.300000000000001 -1.0880050320565715 3.015817818807544
6.7 -1.1166282460135335 2.7181530159829013
7.1000000000000005 -0.8885754649645605 3.3522860382499093
