s Bend Stretch Bind Bend_std Stretch_std Bind_std
1.4 -2.8426830256398716 -2.359224996635021 -1.6998754397424136 7.129103983409395 2.6098738985465793 1.433782550588799
1.5 -1.5161553413054207 -1.357088640666916 -0.9380316666179169 4.857639742788548 1.6495826390531754 0.9912556851716099
1.6 -2.708506651375501 -0.5363167526255666 -1.5124714743001277 4.138186256685124 1.538872160239639 0.8700777323095265
1.7 1.263685343013094 -0.5191917685217504 -0.8784972751702753 3.898621356750815 1.4184062208966484 0.8372600814646667
1.8 0.08586636329755493 -0.18012228877148573 -0.4988814573094942 3.3632891014436255 1.3133920381080486 0.7345127970629981
1.9 -0.36181900262772615 -0.4826403463102906 -0.41652777283479736 3.3426814883466696 1.2420225836879821 0.7603956071028082
2.0 0.0979659945774074 -0.5733092503410262 -0.4983355535175633 3.1133328428029454 1.1453758394117863 0.6974877038885565
2.1 -0.7327191440463139 -0.7031952263864696 -0.45966263965055987 2.8375664594442935 1.0592805964808756 0.6360187800758126
2.2 -0.4552643083179646 -0.33337662780320443 0.07194540147361295 2.5952454367181024 0.9791059495323473 0.5987256174937208
2.3 -0.4394284128534309 0.2854154775531015 -0.595774047331247 2.5166596252265436 0.9767524332682143 0.5708988240792867
2.4 -1.6742677420097607 0.3446966921624153 0.0627006840533113 2.444103993402753 0.9235105223253465 0.5409703025033181
2.5 -1.6317502779725146 -0.0935990417578978 0.013641990074006571 2.351970842007567 0.891666003174614 0.5237782828665856
2.6 0.06042710303336207 -0.247991759599131 0.3309554309161058 2.330522907305986 0.8574877809614435 0.5235384207727571
2.7 0.7927813411852185 -0.6255280733439577 0.17707104620285463 2.21432064903156 0.8226453063849831 0.5109840527050091
2.8 0.22655971932681496 -0.7253220714954978 -0.22450424824990023 2.272031132675251 0.8668537818729682 0.5192508966317168
2.9 -1.5703981878632476 -0.13913284070986265 -0.03169601305660308 2.22226124981958 0.8430261592601525 0.5009509874460726
3.0 -0.020807023191991902 0.3751167123563164 0.09328742542663804 2.1363653610668494 0.813887346699067 0.4889416803011001
3.1 -0.9616818550216522 -0.5511624490417262 -0.39532586305006134 2.0566769470183512 0.7777045070900677 0.4596846013645862
3.2 -0.5005844111674378 -0.3783632107745234 -0.10703051134635189 2.200327213014493 0.8453717203189732 0.4961197737353018
3.3 -0.7657598781311208 -0.9048205428437086 -0.14209701825541288 2.3257031354038573 0.861682006840614 0.5211026434704262
3.4 -0.5896702827940317 -0.27986970237623154 0.015121971222583852 2.3381264987197232 0.8647193290053586 0.5251573876801529
3.5 -1.2964513591377909 0.41963156988083483 -0.4724044853825262 2.2700810156976807 0.8591991545749023 0.5121506640460123
3.6 -1.0892541976268149 0.15601452229418555 -0.22215846621304536 2.3758500404439693 0.9070375384661291 0.5434724826275357
3.7 -1.780864899367316 0.17253406470410937 0.2032457547749118 2.410313232007078 0.9405573606552865 0.5316614490768765
3.8 -1.9235863457229243 -0.1023119500332541 0.15144452559968613 2.50189431213967 0.9398883443418242 0.5650436631014982
3.9 -1.938014475388627 0.1685785497378447 0.10362647475017184 2.6526829133792096 0.9695766599613711 0.5943333275992272
4.0 -1.7165690525839636 0.13944364977760415 -0.4403911832728227 2.6013957280200395 1.012830247368486 0.6144048372725731
4.1 -0.6921557524988202 0.07901994517237654 -0.3714918119471804 2.699260909372297 0.9976974436495928 0.6179434475560653
4.2 0.7589499659602552 -1.458120336381512 -0.02159622247813786 2.797461295525459 1.1173648697000036 0.6339910293712989
4.3 -1.6411243643956368 0.16588405314723786 -0.2868798255208276 2.883461146798871 1.1178763197550938 0.6447316500436469
4.4 0.7198114662751323 -0.8711720416587241 -0.5847321394281835 3.1287767899767456 1.1304129434990537 0.7065836864407502
4.5 0.12184841276302905 -0.20522049323039937 -0.15473967517277742 3.2256687191438354 1.2219368208355257 0.7283672385839661
4.6 -1.2073679324121258 -0.7683956843942497 -0.43452169399495233 3.0402034376849256 1.1318440375023857 0.6990555003811589
4.7 -1.6841486579405682 -0.47202723633847654 -0.8311396482284863 3.2200973089378677 1.198825367885234 0.7167202237285444
4.8 0.24260830841649295 -1.0079405193163211 -0.693181242873834 3.426863285385567 1.2660837343204003 0.7740531182260094
4.9 -1.7457822291353295 -1.9174520830264328 -1.2433995274576546 3.437841313469272 1.2774392375555166 0.7557537913922003
5.0 -3.3049161842554895 -0.8106691578573191 -0.9782104453817055 3.6313731556509268 1.3489662783159155 0.8234388882718058
5.1 -0.26497311976390847 0.2942063013559846 -0.8378138601888168 3.6195084260678825 1.420447009539225 0.8229292521138204
5.2 -0.18569552336111883 0.5681567387920268 -0.8930656894132198 3.7919518017094704 1.328109597013641 0.8540446649326963
5.3 -1.3284124874558074 -1.0862228753711634 -1.0640731195688886 3.726766954915386 1.3502321617303916 0.8347897765252024
5.4 0.9870710620830323 -1.4441834196318268 -0.878484348087909 3.6318365104868575 1.3241561635074537 0.7901588203717791
5.5 -0.5036507550594251 0.20375158881574862 -0.8215709050768965 3.4480600172791513 1.3201542638759725 0.7855024636091247
5.6 -1.153632934385314 -0.949192052680587 -1.0528688076261687 3.7508838519640904 1.3782266204939093 0.8332335892429233
5.7 -1.8538775276056185 -0.6360497185324903 -0.8533251286077075 4.007159276649538 1.5426277872355234 0.9377568677921104
5.8 -1.4703186932820245 0.004381420561912819 -0.7704884971964248 4.547822665467905 1.6800747917342593 0.9930818529325096
5.9 -1.1626634462563743 0.8923238721946518 -0.4092141405618577 5.009603005165102 1.8545672152659383 1.1156254318047176
